course_id,course_name,instructor,time_room,maximum_number,number_of_assigned,number_of_selected,student_list_count,number_of_assigned_check_status,maximum_number_source_status,number_of_assigned_source_status,number_of_selected_source_status,data_warning,popularity_ratio,over_capacity,priority_1_count,cutoff_priority,cutoff_priority_count,seats_before_cutoff,seats_remaining_at_cutoff,cutoff_accept_rate,recommended_max_priority,no_chance_after_priority,analysis_status,recommendation
9023,Risk and Society 風險與社會,"Chiang, Chen-Yin / 姜貞吟 Hsu,Yu-Wen / 徐郁雯",Wednesday 3 (10:00 - 10:50) | Liberal Arts Building #1 106 Wednesday 4 (11:00 - 11:50) | Liberal Arts Building #1 106,50,358,0,358,match,official,official,official,,7.16,308,143,1.0,143,0,50,0.35,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9024,Sociology of consumption 消費社會學,"Lee, Yu-Ying / 李玉瑛",Thursday 3 (10:00 - 10:50) | Liberal Arts Building #1 106 Thursday 4 (11:00 - 11:50) | Liberal Arts Building #1 106,50,349,0,349,match,official,official,official,,6.98,299,144,1.0,144,0,50,0.347,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9002,Transition from Audience to Speaker: Story Analysis and Presentation 聽故事到說故事-故事分析與展演,"Kang, Pei / 康珮",Thursday 5 (13:00 - 13:50) | Liberal Arts Building #1 101 Thursday 6 (14:00 - 14:50) | Liberal Arts Building #1 101,50,344,0,344,match,official,official,official,,6.88,294,170,1.0,170,1,49,0.288,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9019,International Politics 國際政治,"Han, Bao-Jung / 韓保中",Thursday 7 (15:00 - 15:50) | Liberal Arts Building #1 113 Thursday 8 (16:00 - 16:50) | Liberal Arts Building #1 113,50,341,0,341,match,official,official,official,,6.82,291,134,1.0,134,0,50,0.373,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9001,Piano Literature Appreciation 鋼琴音樂作品欣賞,"Tseng, Yun-Hsin / 曾韻心",Tuesday 7 (15:00 - 15:50) | Liberal Arts Building #1 101 Tuesday 8 (16:00 - 16:50) | Liberal Arts Building #1 101,50,331,0,331,match,official,official,official,,6.62,281,163,1.0,163,0,50,0.307,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9032,International Relations 國際關係概論,"Han, Bao-Jung / 韓保中",Tuesday 5 (13:00 - 13:50) | Liberal Arts Building #1 113 Tuesday 6 (14:00 - 14:50) | Liberal Arts Building #1 113,50,293,0,293,match,official,official,official,,5.86,243,125,1.0,125,0,50,0.4,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9029,The International Space Politics 國際太空政治,"Cheng, Tzu-Chen / 鄭子真",Thursday 3 (10:00 - 10:50) | Teaching & Research Building A201 Thursday 4 (11:00 - 11:50) | Teaching & Research Building A201,50,292,0,292,match,official,official,official,,5.84,242,124,1.0,124,0,50,0.403,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9035,Introduction to History of International Relations 戰爭與和平：近代世界外交史概論,"Chang, Jung-Ming / 章榮明",Monday 3 (10:00 - 10:50) | Liberal Arts Building #1 101 Monday 4 (11:00 - 11:50) | Liberal Arts Building #1 101,50,289,0,289,match,official,official,official,,5.78,239,138,1.0,138,0,50,0.362,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9007,Introduction to Western Classical Music 西洋古典音樂入門賞析,"Tseng, Yun-Hsin / 曾韻心",Tuesday 5 (13:00 - 13:50) | Liberal Arts Building #1 101 Tuesday 6 (14:00 - 14:50) | Liberal Arts Building #1 101,50,288,0,288,match,official,official,official,,5.76,238,143,1.0,143,0,50,0.35,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9018,Disabilities and Taiwanese Society 身心障礙與台灣社會,"Yang-Yi,Zheng / 鄭揚宜",Monday 3 (10:00 - 10:50) | Liberal Arts Building #1 113 Monday 4 (11:00 - 11:50) | Liberal Arts Building #1 113,50,284,0,284,match,official,official,official,,5.68,234,123,1.0,123,0,50,0.407,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9030,The Geopolitics of Northeast Asia 東北亞地緣政治,"Cheng, Tzu-Chen / 鄭子真",Thursday 5 (13:00 - 13:50) | Teaching & Research Building A201 Thursday 6 (14:00 - 14:50) | Teaching & Research Building A201,50,283,0,283,match,official,official,official,,5.66,233,117,1.0,117,0,50,0.427,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9049,Design Thinking and Mobile Application Programming Design 設計思考與行動APP程式設計應用,"Yeh,Yu-Fo / 葉俞佛",Friday 3 (10:00 - 10:50) | Zhi-Xi Building 002 Friday 4 (11:00 - 11:50) | Zhi-Xi Building 002,50,241,0,241,match,official,official,official,,4.82,191,111,1.0,111,0,50,0.45,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9033,International Relations 國際關係概論,"Han, Bao-Jung / 韓保中",Thursday 3 (10:00 - 10:50) | Liberal Arts Building #1 113 Thursday 4 (11:00 - 11:50) | Liberal Arts Building #1 113,50,239,0,239,match,official,official,official,,4.78,189,90,1.0,90,0,50,0.556,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9043,Understanding Atmosphere 認識大氣,"Wang, Kuo-Ying / 王國英",Wednesday 3 (10:00 - 10:50) | Teaching & Research Building A001 Wednesday 4 (11:00 - 11:50) | Teaching & Research Building A001,120,565,0,565,match,official,official,official,,4.708,445,234,1.0,234,0,120,0.513,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9058,Food Safety and Life 食品安全與生活,LuLi-Teh / 呂理德,Thursday 3 (10:00 - 10:50) | Teaching & Research Building A003 Thursday 4 (11:00 - 11:50) | Teaching & Research Building A003,120,533,0,533,match,official,official,official,,4.442,413,263,1.0,263,1,119,0.452,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9060,Programming-Python 程式設計-Python,"CHANG,CHIA-KAI / 張家凱",Wednesday 5 (13:00 - 13:50) | Zhi-Xi Building 202 Wednesday 6 (14:00 - 14:50) | Zhi-Xi Building 202 Wednesday 7 (15:00 - 15:50) | Zhi-Xi Building 202,50,221,0,221,match,official,official,official,,4.42,171,129,1.0,129,0,50,0.388,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9054,Introduction to machine learning 機器學習概論,"Huang,Yu-Qing / 黃鈺晴",Friday 3 (10:00 - 10:50) | Zhi-Xi Building 202 Friday 4 (11:00 - 11:50) | Zhi-Xi Building 202,50,210,0,210,match,official,official,official,,4.2,160,102,1.0,102,0,50,0.49,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9011,Social Enterprise 社會企業,"Chen, Yen-Jung / 陳彥蓉",Monday 5 (13:00 - 13:50) | Liberal Arts Building #1 106 Monday 6 (14:00 - 14:50) | Liberal Arts Building #1 106,50,209,0,209,match,official,official,official,,4.18,159,100,1.0,100,0,50,0.5,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9045,An Introduction to Modern Astronomy 現代天文學簡介,Kinoshita Daisuke / 木下大輔,Wednesday 7 (15:00 - 15:50) | Teaching & Research Building A203 Wednesday 8 (16:00 - 16:50) | Teaching & Research Building A203,130,526,0,526,match,official,official,official,,4.046,396,285,1.0,285,0,130,0.456,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9026,Heory and Practice of Technology Policy 科技政策理論與實踐,"Chou, Kuan-Chu / 周冠竹",Wednesday 7 (15:00 - 15:50) | Liberal Arts Building #1 106 Wednesday 8 (16:00 - 16:50) | Liberal Arts Building #1 106,50,201,0,201,match,official,official,official,,4.02,151,73,1.0,73,0,50,0.685,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9016,Intellectual Property Right 智慧財產權概論,Yann-Jy Yang / 楊燕枝,Wednesday 3 (10:00 - 10:50) | General Education Building 214 Wednesday 4 (11:00 - 11:50) | General Education Building 214,120,467,0,467,match,official,official,official,,3.892,347,194,1.0,194,0,120,0.619,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9025,International Politics of Technology 國際科技政治,"Chou, Kuan-Chu / 周冠竹",Wednesday 5 (13:00 - 13:50) | Liberal Arts Building #1 106 Wednesday 6 (14:00 - 14:50) | Liberal Arts Building #1 106,50,189,0,189,match,official,official,official,,3.78,139,84,1.0,84,0,50,0.595,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9048,Design Thinking and Mobile Application Programming Design 設計思考與行動APP程式設計應用,"Yeh,Yu-Fo / 葉俞佛",Friday 1 (08:00 - 08:50) | Zhi-Xi Building 002 Friday 2 (09:00 - 09:50) | Zhi-Xi Building 002,50,189,0,189,match,official,official,official,,3.78,139,71,1.0,71,0,50,0.704,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9046,Technology and Economic Equity 科技與財富平權,"Yann-Jy Yang / 楊燕枝 Wu, Hsin-Yi / 吳忻怡",Wednesday 6 (14:00 - 14:50) | Zhi-Xi Building 002 Wednesday 7 (15:00 - 15:50) | Zhi-Xi Building 002 Wednesday 8 (16:00 - 16:50) | Zhi-Xi Building 002,50,186,0,186,match,official,official,official,,3.72,136,74,1.0,74,0,50,0.676,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9057,Introduction to Artificial Intelligence Intelligence Ethics 人工智慧倫理導論,"Yang-Yi,Zheng / 鄭揚宜",Tuesday 5 (13:00 - 13:50) | General Education Building 214 Tuesday 6 (14:00 - 14:50) | General Education Building 214,50,184,0,184,match,official,official,official,,3.68,134,78,1.0,78,0,50,0.641,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9031,Civil Society and the Development of Democratic Administration 公民社會與民主行政發展,"Han, Bao-Jung / 韓保中",Tuesday 7 (15:00 - 15:50) | Liberal Arts Building #1 113 Tuesday 8 (16:00 - 16:50) | Liberal Arts Building #1 113,50,182,0,182,match,official,official,official,,3.64,132,75,1.0,75,0,50,0.667,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9042,Introduction to Geophysics 通識地球物理,"Chen, Chow-Son / 陳洲生",Monday 5 (13:00 - 13:50) | General Education Building 122 Monday 6 (14:00 - 14:50) | General Education Building 122,120,419,0,419,match,official,official,official,,3.492,299,204,1.0,204,0,120,0.588,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9038,Ethnic Imagination in Contemporary Taiwan 台灣社會與族群想像,"Wu, Hsin-Yi / 吳忻怡",Tuesday 5 (13:00 - 13:50) | Teaching & Research Building A202 Tuesday 6 (14:00 - 14:50) | Teaching & Research Building A202,50,171,0,171,match,official,official,official,,3.42,121,72,1.0,72,0,50,0.694,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9012,Local knowledge ans society 地方知識與社會,"Fu, Bao-Yu / 傅寶玉",Monday 7 (15:00 - 15:50) | Liberal Arts Building #1 106 Monday 8 (16:00 - 16:50) | Liberal Arts Building #1 106,50,168,0,168,match,official,official,official,,3.36,118,67,1.0,67,0,50,0.746,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9027,Geopolitics 地緣政治,"Hsiao,Yu-He / 蕭育和",Tuesday 7 (15:00 - 15:50) | Liberal Arts Building #1 106 Tuesday 8 (16:00 - 16:50) | Liberal Arts Building #1 106,50,166,0,166,match,official,official,official,,3.32,116,68,1.0,68,0,50,0.735,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9013,digital storytelling 數位敘事,Tu Sheng Tsung / 杜聖聰,Thursday 2 (09:00 - 09:50) | General Education Building 214 Thursday 3 (10:00 - 10:50) | General Education Building 214 Thursday 4 (11:00 - 11:50) | General Education Building 214,50,162,0,162,match,official,official,official,,3.24,112,80,1.0,80,0,50,0.625,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9020,Smart Cities and Urban Traffic 智慧城市與交通,Georg Härtich / 賀彥豪,Wednesday 3 (10:00 - 10:50) | Liberal Arts Building #1 101 Wednesday 4 (11:00 - 11:50) | Liberal Arts Building #1 101,50,154,0,154,match,official,official,official,,3.08,104,62,1.0,62,0,50,0.806,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9059,Programming-Python 程式設計-Python,"Huang,Yu-Qing / 黃鈺晴",Monday 2 (09:00 - 09:50) | Zhi-Xi Building 002 Monday 3 (10:00 - 10:50) | Zhi-Xi Building 002 Monday 4 (11:00 - 11:50) | Zhi-Xi Building 002,50,153,0,153,match,official,official,official,,3.06,103,78,1.0,78,0,50,0.641,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9044,Global Climate Change crisises to opportunities 全球氣候變遷-從危機到轉機,"Chang, Che-Ming / 張哲明",Wednesday 3 (10:00 - 10:50) | General Education Building 122 Wednesday 4 (11:00 - 11:50) | General Education Building 122,120,367,0,367,match,official,official,official,,3.058,247,140,1.0,140,0,120,0.857,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9015,International Organization 國際組織,"Chang, Jung-Ming / 章榮明",Monday 1 (08:00 - 08:50) | Liberal Arts Building #1 101 Monday 2 (09:00 - 09:50) | Liberal Arts Building #1 101,50,146,0,146,match,official,official,official,,2.92,96,58,1.0,58,0,50,0.862,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9010,Cultural and Creative Industries with Aesthetics of Living 文化創意產業與生活美學,"Liu, A-Ron / 劉阿榮",Monday 3 (10:00 - 10:50) | General Education Building 122 Monday 4 (11:00 - 11:50) | General Education Building 122,120,349,0,349,match,official,official,official,,2.908,229,153,1.0,153,1,119,0.778,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9028,International Political Economy 國際政治經濟學,"Hsiao,Yu-He / 蕭育和",Tuesday 5 (13:00 - 13:50) | Liberal Arts Building #1 106 Tuesday 6 (14:00 - 14:50) | Liberal Arts Building #1 106,50,139,0,139,match,official,official,official,,2.78,89,64,1.0,64,0,50,0.781,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9017,Global Cities and Social Spaces 全球化都市與社會空間,Georg Härtich / 賀彥豪,Monday 7 (15:00 - 15:50) | Liberal Arts Building #1 101 Monday 8 (16:00 - 16:50) | Liberal Arts Building #1 101,50,123,0,123,match,official,official,official,,2.46,73,60,1.0,60,0,50,0.833,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9006,Cross-disciplinary critical thinking 跨領域思辨,"Chen, Hsuan-Yi / 陳宣毅",Monday 5 (13:00 - 13:50) | Chien-ShiungBuilding(Science Building#4) 208,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9014,Introduction to Artificial Intelligence AI人工智慧導論,"LI,BING,HONG / 李秉鴻",Tuesday A (18:00 - 18:50) | Zhi-Xi Building 002 Tuesday B (19:00 - 19:50) | Zhi-Xi Building 002 Tuesday C (20:00 - 20:50) | Zhi-Xi Building 002,40,0,0,0,no_student_list,official,official,official,,0.0,-40,0,,0,0,40,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9022,SocialEngagement:Workshop2 社會參與議題工作坊(二),"Tsai, Shyi-Jeng / 蔡錫錚 Yang-Yi,Zheng / 鄭揚宜 Wu, Hsin-Yi / 吳忻怡",Saturday A (18:00 - 18:50) | General Education Building 122 Saturday B (19:00 - 19:50) | General Education Building 122,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9050,"Science, Technology, History 科學、科技、歷史","Chen, Hsuan-Yi / 陳宣毅",Tuesday A (18:00 - 18:50) | Chien-ShiungBuilding(Science Building#4) 208 Tuesday B (19:00 - 19:50) | Chien-ShiungBuilding(Science Building#4) 208,20,0,0,0,no_student_list,official,official,official,,0.0,-20,0,,0,0,20,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9051,Data visualization 資料視覺化,"Chung,Hsiang-jen / 鐘祥仁",Monday 8 (16:00 - 16:50) | Zhi-Xi Building 202 Monday 9 (17:00 - 17:50) | Zhi-Xi Building 202,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9052,Natural language processing 自然語言處理,"Chung,Hsiang-jen / 鐘祥仁",Monday 2 (09:00 - 09:50) | Zhi-Xi Building 202 Monday 3 (10:00 - 10:50) | Zhi-Xi Building 202 Monday 4 (11:00 - 11:50) | Zhi-Xi Building 202,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9053,Introduction to machine learning 機器學習概論,"Chung,Hsiang-jen / 鐘祥仁",Monday 5 (13:00 - 13:50) | Zhi-Xi Building 202 Monday 6 (14:00 - 14:50) | Zhi-Xi Building 202,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9055,Special topic for interdisciplinary artificial intelligence 人工智慧跨域應用專題,"CHANG,CHIA-KAI / 張家凱",Tuesday A (18:00 - 18:50) | Liberal Arts Building #1 113 Tuesday B (19:00 - 19:50) | Liberal Arts Building #1 113 Tuesday C (20:00 - 20:50) | Liberal Arts Building #1 113,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
9056,Special topic for interdisciplinary artificial intelligence 人工智慧跨域應用專題,"CHANG,CHIA-KAI / 張家凱",,50,0,0,0,no_student_list,official,official,official,,0.0,-50,0,,0,0,50,1.0,,,insufficient_priority_data,報名資料不足，無法判斷
